,Country,City,lat,lon,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,job_index
19,Norway,Bergen,60.3943034,5.3258117,1.5,1.6,3.3,5.9,10.5,13.5,14.5,14.4,11.5,8.7,4.7,2.6,7.7,0.0007537214999057848
20,Norway,Oslo,59.913330099999996,10.7389701,-4.3,-4.0,-0.2,4.5,10.8,15.2,16.4,15.2,10.8,6.3,0.7,-3.1,5.7,0.005747126436781609
21,Norway,Tromsø,69.64929690000001,18.9548489,-3.8,-3.7,-2.3,0.7,5.1,9.2,11.8,10.9,6.9,3.2,-0.6,-2.7,2.9,0.0002826455624646693
22,Poland,Warsaw,52.2319237,21.006726500000003,-1.8,-0.6,2.8,8.7,14.2,17.0,19.2,18.3,13.5,8.5,3.3,-0.7,8.5,0.022046353872244205
23,Portugal,Lisbon,38.707750700000005,-9.1365919,11.6,12.7,14.9,15.9,18.0,21.2,23.1,23.5,22.1,18.8,15.0,12.4,17.5,0.029018277746372716
24,Romania,Bucharest,44.4361414,26.1027202,-1.3,0.4,5.4,11.2,16.8,20.6,22.5,22.0,16.9,11.0,4.7,0.2,10.8,0.010457885811192764
25,Russia,Moscow,55.7504461,37.6174943,-6.5,-6.7,-1.0,6.7,13.2,17.0,19.2,17.0,11.3,5.6,-1.2,-5.2,5.8,0.04823817599397023
26,Serbia,Belgrade,44.8178131,20.4568974,1.4,3.1,7.6,12.9,18.1,21.0,23.0,22.7,18.0,12.9,7.1,2.7,12.5,0.0002826455624646693
27,Spain,Barcelona,41.3828939,2.1774322,11.8,12.4,14.2,15.8,19.3,23.0,25.7,26.1,23.0,19.5,14.9,12.3,18.2,0.02553231580930846
28,Spain,Seville,37.388630299999996,-5.9953403,10.9,12.5,15.6,17.3,20.7,25.1,28.2,27.9,25.0,20.2,15.1,11.9,19.2,0.0008479366873940079
29,Spain,Madrid,40.416704700000004,-3.7035824999999996,6.3,7.9,11.2,12.9,16.7,22.2,25.6,25.1,20.9,15.1,9.9,6.9,15.0,0.016299227435462596
30,Sweden,Stockholm,59.3251172,18.0710935,-2.8,-3.0,0.1,4.6,10.7,15.6,17.2,16.2,11.9,7.5,2.6,-1.0,6.6,0.0248728094968909
31,Switzerland,Zürich,47.3769434,8.5414061,0.3,1.3,5.3,8.8,13.3,16.4,18.6,18.0,14.1,9.9,4.4,1.4,9.3,0.03250423968343697
32,Turkey,Istanbul,41.0096334,28.9651646,5.7,5.7,7.0,11.1,15.7,20.4,22.9,23.1,19.8,15.6,11.5,8.0,13.9,0.003485961937064255
33,Ukraine,Kiev,50.4501071,30.5240501,-3.5,-3.0,1.8,9.3,15.5,18.5,20.5,19.7,14.2,8.4,1.9,-2.3,8.4,0.011588468061051441
34,United Kingdom,Edinburgh,55.953345999999996,-3.1883738999999998,4.2,4.5,6.2,8.1,10.8,13.5,15.3,15.2,13.0,9.8,6.7,4.2,9.3,0.009609949123798756
